jurisdiction,address,zip5,apn_fmt,con_sites,ex_gp_des,ex_zoning,min_dens,max_dens,acres,ex_use_vac,infra,public,site_stat,id_last2,li,mod,amod,capacity,opt1,opt2,abag_general_plan,abag_zoning,abag_allowable_density,abag_rhna_cycle,abag_rhna_years,sf_used_in_previous_he,abag_used_in_previous_he
San Francisco,165 JEFFERSON ST,94133.0,0013-006A,,COMMUNITY BUSINESS,C-2,0.0,54.44978267006901,0.1200117001891414,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.1184700795,0.1184700795,0.236940159,,0.03625926,C-2,,,RHNA4,2007-2014,0,1
San Francisco,11 AUGUST ALY,94133.0,0118-040B,,"RESIDENTIAL- MIXED, MODERATE DENSITY",RM-2,0.0,39.1372647060029,0.05446116734726502,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0081883905,0.0081883905,0.016376781,,0.007683359,RM-2,,,RHNA4,2007-2014,0,1
San Francisco,1047-1055 GRANT AVE,94133.0,0178-001A,,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL,CRNC,0.0,104.543584694813,0.05644760285147184,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.039311391,0.039311391,0.078622782,,0.013323107,CRNC,,,RHNA4,2007-2014,0,1
San Francisco,25 MONTGOMERY ST,94104.0,0292-001A,,DOWNTOWN- OFFICE,C-3-O,0.0,270.0709208418969,0.3673147726160091,Bank,Yes,,Available,Not Used in Prior Housing Element,0.0,1.6546345905,1.6546345905,3.309269181,,0.033359219,C-3-O,,,RHNA4,2007-2014,0,1
San Francisco,146 LEAVENWORTH ST,94102.0,0344-006A,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,0.0,270.0709213010442,0.05681854512498553,Hotels - Other,Yes,,Available,Not Used in Prior Housing Element,0.0,0.127692013,0.127692013,0.255384026,,0.016642777,RC-4,,,RHNA4,2007-2014,0,1
San Francisco,101 HYDE ST,94102.0,0346-003A,,DOWNTOWN- GENERAL,C-3-G,0.0,210.6553165223959,0.2457843696483436,OFFICE/RETAIL,Yes,,Pending Project,Not Used in Prior Housing Element,84.0,0.0,1.0,85.0,Pipeline - Affordable,,C-3-G,,,RHNA4,2007-2014,0,1
San Francisco,3701 BUCHANAN ST,94123.0,0445A-005A,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,0.0,54.44978212701292,0.1147846014016699,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0399409185,0.0399409185,0.079881837,,0.012781101,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,3623-3625 BUCHANAN ST,94123.0,0460A-005,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,0.0,37.02577489660286,0.05739208554160224,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.00471113,0.00471113,0.00942226,,0.004434033,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,2250-2268 CHESTNUT ST,94123.0,0488A-034,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,0.0,54.44978039684604,0.1135346260171257,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0397490475,0.0397490475,0.079498095,,0.012859742,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,1510-1520 FILBERT ST,94123.0,0522-002A,,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY",RC-3,0.0,108.8995643929104,0.2495139415522671,Apartment 15 Units or more,Yes,,Pending Project,Not Used in Prior Housing Element,9.500000004,3.166666668,29.555555568,42.22222224000001,Pipeline,,RC-3,,,RHNA4,2007-2014,0,1
San Francisco,-  ,94109.0,0523-005A,,"RESIDENTIAL- MIXED, MEDIUM DENSITY",RM-3,0.0,108.8995655094538,0.01721775158747273,Vacant Lot Residential,Yes,,Available,Not Used in Prior Housing Element,0.0,0.024732401,0.024732401,0.049464802,,0.026381148,RM-3,,,RHNA4,2007-2014,0,1
San Francisco,2326 UNION ST,94123.0,0535-004D,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,54.44977748611372,0.03174449565723715,Vacant Lot Residential,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0056065165,0.0056065165,0.011213033,,0.006487219,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,1555 UNION ST,94123.0,0546-001B,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-UNION,0.0,90.02364068566297,0.3682146844987466,Motels,Yes,,Available,Not Used in Prior Housing Element,0.703478754,0.0,0.0,0.703478754,,0.021222342,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,-  ,94109.0,0572-023A,,"RESIDENTIAL- MIXED, MODERATE DENSITY",RM-2,0.0,57.49897037963833,0.02563578843134618,Vacant Lot Residential,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0181060205,0.0181060205,0.036212041,,0.024566668,RM-2,,,RHNA4,2007-2014,0,1
San Francisco,2002 CALIFORNIA ST,94109.0,0639-003B,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,0.0,19.5226143577632,0.0512226478316081,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.00084062,0.00084062,0.00168124,,0.00168124,RH-2,,,RHNA4,2007-2014,0,1
San Francisco,2429-2431 CALIFORNIA ST,94115.0,0654-001F,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-UPPER FILLMORE,0.0,72.59970989919759,0.1087329354569414,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0865247615,0.0865247615,0.173049523,,0.021921709,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,1530-1540 BUSH ST,94109.0,0666-006A,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,0.0,270.0709208826007,0.240676182432364,Garages (Commercial),Yes,,Available,Not Used in Prior Housing Element,0.857196964,0.0,0.0,0.857196964,,0.013187719,RC-4,,,RHNA4,2007-2014,0,1
San Francisco,1233-1235 VAN NESS AVE,94109.0,0690-001A,,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",RC-4,0.0,270.0709145287141,0.1511719198545868,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.486075093,0.0,0.0,0.486075093,,0.011905686,RC-4,,,RHNA4,2007-2014,0,1
San Francisco,1528-1530 FILLMORE ST,94115.0,0708-012A,,NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-FILLMORE,0.0,587.4042502149656,0.08390785751859228,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,1.609281087,1.609281087,3.218562174,,0.065301354,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,376 IVY ST,94102.0,0808-022A,,NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-HAYES,0.0,63.16196798271852,0.02869634718723175,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.010076765,0.010076765,0.02015353,,0.01111908,NCT Named,,,RHNA4,2007-2014,0,1
San Francisco,300 LILY ST,94102.0,0840-001A,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,0.0,9.024621889895023,0.03182225837724823,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0014153935,0.0014153935,0.002830787,,0.009857055,RTO,,,RHNA4,2007-2014,0,1
San Francisco,84-86 WALLER ST,94102.0,0856-011A,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,0.0,57.35371278139994,0.068870527567083,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.02198553,0.02198553,0.04397106,,0.011131969,RTO,,,RHNA4,2007-2014,0,1
San Francisco,56 LAUSSAT ST,94102.0,0858-024A,,RESIDENTIAL TRANSIT ORIENTED DISTRICT,RTO,0.0,71.8737125440552,0.01721781748842479,Vacant Lot Residential,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0213142685,0.0213142685,0.042628537,,0.034447067,RTO,,,RHNA4,2007-2014,0,1
San Francisco,342 WALLER ST,94117.0,0859-012A,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,0.0,28.17880668830994,0.07097532631960976,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.001193243,0.001193243,0.002386486,,0.001193243,RH-3,,,RHNA4,2007-2014,0,1
San Francisco,447 HAIGHT ST,94117.0,0859-028A,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-LOWER HAIGHT STREET,0.0,36.21705058703758,0.0548464113157868,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0041931885,0.0041931885,0.008386377,,0.00422195,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,3524-3526 SACRAMENTO ST,94118.0,1010-007,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-SACRAMENTO,0.0,54.44978173133176,0.05739245653135484,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0343552365,0.0343552365,0.068710473,,0.021987304,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,2840-2844 CALIFORNIA ST,94115.0,1025-013,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,0.0,54.44978251825537,0.08411963867574196,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.049818586,0.049818586,0.099637172,,0.021753435,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,2786-2790 CALIFORNIA ST,94115.0,1026-013,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,0.0,54.44978267683759,0.06160015296797912,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0364742525,0.0364742525,0.072948505,,0.021748958,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,2792-2794 CALIFORNIA ST,94115.0,1026-014,,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",NC-2,0.0,40.28842681104035,0.07061472105103277,Flat & Store,Yes,,Available,Not Used in Prior Housing Element,0.0,0.010039369,0.010039369,0.020078738,,0.007057662,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,2814 PINE ST,94115.0,1029-007,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,0.0,19.19991510933041,0.05208356361503074,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.000827423,0.000827423,0.001654846,,0.001654846,RH-2,,,RHNA4,2007-2014,0,1
San Francisco,3471-3473 CALIFORNIA ST,94118.0,1034-006,,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER",NC-S,0.0,67.51772841420535,0.1980790236278714,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.106807845,0.106807845,0.21361569,,0.015972645,NC-S,,,RHNA4,2007-2014,0,1
San Francisco,3501-3509 CALIFORNIA ST,94118.0,1034-008,,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER",NC-S,0.0,52.37384480253419,0.1980997920199044,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0256907735,0.0256907735,0.051381547,,0.00495232,NC-S,,,RHNA4,2007-2014,0,1
